texto,ministro,link,dia_publicacao,pandemia,morte_publicacao,atualizacao_casos,noticia_falsa,recomendacao_publicacao,situacao_atual,tipo_publicacao,origem_publicacao,"publico_alvo
"
"minsaude
Verificado
🇧🇷O Brasil deve se unir contra o #coronavírus. O @minsaude declarou a transmissão comunitária em todo o país. Acesse saude.gov.br e saiba mais como o @governodobrasil está trabalhando para proteger a saúde dos brasileiros.",mandetta,https://www.instagram.com/p/B-AbOdLA7EY/,21/03,sim,nao,nao,nao,sim,sim,arte,ms,geral
"minsaude
Verificado
Atenção, médicos👩⚕️👨⚕️! As inscrições de profissionais para reforçar o enfrentamento ao #coronavírus nos postos de saúde vão até este domingo (22). Confira o edital e mais informação no site https://bit.ly/2WvyyPD",mandetta,https://www.instagram.com/p/B-BGeKEAwQc/,21/03,sim,nao,nao,nao,sim,nao,arte,ms,profissionais_saude
"minsaude
Verificado
❗❗Atenção❗❗ Vamos deixar as máscaras de proteção respiratória, como a N95 e outras similares, para os profissionais de saúde👩⚕👨⚕. Caso você precise de máscara para isolamento domiciliar, a recomendada é a do tipo cirúrgico.😷 Saiba mais em http://saude.gov.br/coronavirus",mandetta,https://www.instagram.com/p/B-C2tORAj4X/,22/03,sim,nao,nao,nao,sim,nao,arte,ms,geral
"minsaude
Verificado
O uso da camisinha é a forma mais simples e eficaz de se proteger contra as Infecções Sexualmente Transmissíveis, como a clamídia. Proteja-se.

Saiba mais em saude.gov.br/ist

#UseCamisinha",mandetta,https://www.instagram.com/p/B-DpOfNAtkM/,22/03,nao,nao,nao,nao,sim,nao,arte,ms,geral
"minsaude
Verificado
⚠Você recebeu no celular um áudio sobre #coronavírus atribuído ao ministro da Saúde, Luiz Henrique Mandetta? Não compartilhe! Hoje, o ministro alertou que ""não é só o coronavírus que traz problemas para o país. As fake news também"". Em entrevista coletiva, ele também ressaltou que não manda áudio por celular. ""Deixo aqui bem claro: todas as informações que eu for passar para a população serão feitas pelos canais oficias do Ministério da Saúde"". Saiba mais: https://bit.ly/2wlAaRv",mandetta,https://www.instagram.com/p/B-Dt9AhAOw9/,22/03,sim,nao,nao,sim,nao,nao,arte,ms,geral
"minsaude
Verificado
Falaí, Ministério da Saúde

#VACINAÇÃOCONTRAGRIPE - Nesta primeira etapa, a prioridade são os idosos e os profissionais de saúde. É fundamental que os idosos tomem essa vacina, porque ela pode ajudar na agilidade do diagnóstico do #coronavírus. Veja como sua cidade está organizando a vacinação e cumpra o distanciamento de 2 metros para se prevenir do #coronavírus. Ouça o recado do ministro da Saúde, Luiz Henrique Mandetta
Saiba mais em saude.gov.br/vacinabrasil #VacinaBrasil",mandetta,https://www.instagram.com/p/B-DwCOtg0HO/,22/03,nao,nao,nao,nao,sim,sim,video,ms,geral
"minsaude
Verificado
Saiba como deve ser o isolamento de pessoas com coronavírus

Tem dúvida sobre como deve ser isolamento em casa de pessoas com #coronavírus e seus familiares?

O Ministério da Saúde te ajuda a entender. 😉

Para mais informações sobre #COVID19, acesse saude.gov.br/coronavirus",mandetta,https://www.instagram.com/p/B-E7oFLDS1A/,23/03,sim,nao,nao,nao,sim,nao,video,ms,geral
"minsaude
Verificado
Neste momento, é muito importante evitar aglomerações para se prevenir e prevenir as pessoas que você ama do #coronavírus.
Evite, ao máximo, sair de casa! Confira neste vídeo mais uma orientação do @minsaude.",mandetta,https://www.instagram.com/p/B-FF3zXggu_/,23/03,sim,nao,nao,nao,sim,sim,video,ms,geral
"minsaude
Verificado
A vacinação contra a gripe começou. Fique atento às datas para cada público da campanha e, se fizer parte de um deles, não deixe de tomar a vacina. Em caso de fila, mantenha uma distância de pelo menos 2 metros dos demais, principalmente os idosos. Informe-se se na sua cidade haverá uma estrategia de vacinação diferenciada. Gripe, tem que vacinar. Saiba mais em saude.gov.br/vacinabrasil #VacinaBrasil",mandetta,https://www.instagram.com/p/B-FaJEBgmWU/,23/03,nao,nao,nao,nao,sim,nao,video,ms,geral
"minsaude
Verificado
⚠️ATENÇÃO ⚠️ Confira a atualização dos casos de #coronavírus no Brasil em 23/03.
Informe-se em saude.gov.br/coronavirus",mandetta,https://www.instagram.com/p/B-FuJWGgimT/,23/03,sim,sim,nao,nao,nao,sim,print,ms,geral
"minsaude
Verificado
A campanha de vacinação contra a gripe começou em todo o país e, nesta primeira etapa (de 23/03 a 15/04), o público-alvo são os idosos e os trabalhadores da saúde.
Crianças com seus pais e responsáveis podem, muitas vezes, disseminar doenças respiratórias, mesmo não apresentando sintomas. Por isso, para evitar aglomerações dessas pessoas com o maior público de risco, os estados já receberam nota técnica para que, neste período, as vacinas de rotina sejam SUSPENSAS. Então, a partir do dia 16 de abril, essas atividades voltam ao normal.
Saiba mais: https://bit.ly/397mpmE
VacinaBrasil #VacinaçãoContraAGripe #VacinaGripe",mandetta,https://www.instagram.com/p/B-GFb8AA7JP/,23/03,nao,nao,nao,nao,sim,nao,arte,ms,geral
"minsaude
Verificado
Eles estão na linha de frente, trabalhando dia e noite. Os profissionais de saúde estão preparados para ajudar os brasileiros a enfrentar o #coronavírus. Mas todos precisam fazer a sua parte.
Recebemos fotos do Brasil inteiro. Não são memes ou montagens. São pessoas reais que fazem um pedido genuíno para proteger a todos nós. “Nós estamos aqui por vocês. Fiquem em casa por nós”. Nosso profundo agradecimento a esses guerreiros. A melhor forma de agradecer é protegendo nossos idosos e ficando em casa sempre que possível

Continuem enviando fotos. Fazemos questão de manter este agradecimento!",mandetta,https://www.instagram.com/p/B-GLwTMgSL7/,23/03,sim,nao,nao,nao,sim,nao,arte | foto,ms,geral
"minsaude
Verificado
Neste dia, o mundo inteiro se une na luta contra a tuberculose. É necessário que cada um faça a sua parte! Se está em tratamento para tuberculose, não desista. Saiba mais acessando saude.gov.br/tuberculose

Esta publicação tem recurso de texto alternativo para deficientes visuais.
#TrateATuberculose #TB #Tuberculose",mandetta,https://www.instagram.com/p/B-HSsoOgyFl/,24/03,nao,nao,nao,nao,sim,nao,arte,ms,geral
"minsaude
Verificado
Atenção: a campanha de vacinação contra a gripe será por fases. A partir de 23 de março, serão vacinados idosos com 60 anos ou mais e trabalhadores da saúde. Se você faz parte do público-alvo, procure um posto de saúde e leve a caderneta de vacinação. Em caso de fila, mantenha uma distância de pelo menos 2 metros dos demais, principalmente os idosos. Informe-se se na sua cidade haverá uma estrategia de vacinação diferenciada.

Saiba mais em saude.gov.br/vacinabrasil

#VacinaBrasil",mandetta,https://www.instagram.com/p/B-IRE9aAa9J/,24/03,nao,nao,nao,nao,sim,nao,arte,ms,geral
"minsaude
Verificado
⚠️ ATENÇÃO ⚠️
Confira a atualização dos casos de #Coronavírus no Brasil até as 16h de 24/03.

Informe-se em saude.gov.br/coronavirus",mandetta,https://www.instagram.com/p/B-ISoKZgqG3/,24/03,sim,sim,sim,nao,nao,sim,print,ms,geral
"minsaude
Verificado
O @governodobrasil está trabalhando forte para aumentar a disponibilidade de testes para #coronavírus no SUS. O @minsaude divulgou a estratégia de ampliação dos exames para os 22,9 milhões de testes. Neste momento, o foco da testagem será profissionais de saúde e de segurança, além da verificação dos casos graves e óbitos.

Saiba mais: acesse o link na bio e clique em ""Coronavírus - 22,9 milhões de testes""",mandetta,https://www.instagram.com/p/B-InD1kgIGd/,24/03,sim,sim,nao,nao,sim,nao,arte,ms,geral
"minsaude
Verificado
A doença é considerada grave e está entre as 10 principais causas de morte no mundo, somando 10 milhões de casos por ano e mais de 1 milhão de óbitos.
No Brasil, só em 2019, foram registrados quase 74 mil casos novos da doença que, apesar de ter cura, continua fazendo vítimas fatais.

Por isso, mesmo que os sintomas melhorem, é preciso fazer o tratamento até o final.

Saiba mais no portal Saúde: acesse o link na bio e clique em ""Brasil reduz mortes por tuberculose""

#TrateATuberculose #TB #Tuberculose",mandetta,https://www.instagram.com/p/B-IvXr5gE3O/,24/03,nao,nao,nao,nao,sim,nao,arte,ms,geral
"minsaude
Verificado
Dicas de saúde. Aqui vão dicas importantes de cuidados que todos devem ter na hora de tossir ou espirrar.
Siga as orientações do Ministério da Saúde e saiba como proteger sua saúde.

Para mais informações, acesse saude.gov.br/coronavirus",mandetta,https://www.instagram.com/p/B-I2MGLAxYc/,24/03,sim,nao,nao,nao,sim,nao,video,ms,geral
"minsaude
Verificado
A vacina contra a gripe não protege contra o coronavírus, mas protege contra outros tipos de vírus da gripe. Se você faz parte do público prioritário, procure um posto de saúde. Saiba mais em saude.gov.br/vacinabrasil #VacinaBrasil posto de saude e leve a caderneta de vacinação.

Gripe. Tem que vacinar. Saiba mais em saude.gov.br/vacinabrasil

#VacinaBrasil",mandetta,https://www.instagram.com/p/B-KFOJ5Av_I/,25/03,nao,nao,nao,nao,sim,nao,arte,ms,geral
"minsaude
Verificado
⚠️O @minsaude esclarece que a imagem divulgada nas redes sociais é falsa. ⚠️ O tuíte não foi feito e nem foi publicado na conta oficial do Ministério da Saúde.
Além disso, é possível ver na imagem, que o horário da publicação é 7h27PM, ou seja, referente a noite desta quarta-feira (25 de março). Mantenha-se informado. Acesse saude.gov.br/fakenews",mandetta,https://www.instagram.com/p/B-KiFZrIbR1/,25/03,nao,nao,nao,sim,nao,nao,arte,ms,geral
"minsaude
Verificado
Ao sair para doar sangue, redobre os cuidados de etiqueta sanitária. Lave bem as mãos e proteja a boca com a dobra do braço ao tossir ou espirrar. Os hemocentros estão preparados para receber você, mantendo a distância de segurança entre um doador e outro. Mas atenção, se estiver com sintomas de gripe, fique em casa. Com os cuidados certos, podemos, sim, fazer a diferença e contribuir para salvar muitas vidas. Entre em contato com o hemocentro do seu estado e verifique a melhor forma de doar em segurança. Saiba mais em saude.gov.br/doacao-de-sangue #DoeSangue
#coronavírus",mandetta,https://www.instagram.com/p/B-KoxT0gbDn/,25/03,sim,nao,nao,nao,sim,nao,arte,ms,geral
"minsaude
Verificado
O Sistema de Saúde do🇧🇷 está preparado para enfrentar o #coronavírus

Várias medidas estão sendo tomadas pelo @governodobrasil como aumentar os números de leitos de UTI e ventiladores. Assista à mensagem do secretário Executivo do @minsaude , João Gabbardo.
#coronavírus
#covid19",mandetta,https://www.instagram.com/p/B-Kq7ONABJT/,25/03,sim,nao,nao,nao,nao,sim,video,ms,geral
"minsaude
Verificado
Dicas de saúde. Aqui vão dicas importantes de como lavar as mãos corretamente.
Siga as orientações do Ministério da Saúde e saiba mais como proteger sua saúde.

Para mais informações, acesse saude.gov.br",mandetta,https://www.instagram.com/p/B-K1RN4gjfI/,25/03,nao,nao,nao,nao,sim,nao,video,ms,geral
"minsaude
Verificado
⚠ ATENÇÃO ⚠
Confira a atualização dos casos de #Coronavírus no Brasil até as 15h de 25/03.

Informe-se em saude.gov.br/coronavirus",mandetta,https://www.instagram.com/p/B-K2oc-g7GB/,25/03,sim,sim,sim,nao,nao,sim,arte,ms,geral
"minsaude
Verificado
Os hemocentros de todo o 🇧🇷 estão precisando de você, doador de sangue! Os estoques estão baixos em nosso país.

Mesmo neste momento que estamos vivendo, é possível doar sangue, desde que você siga todas as orientações e cuidados do Ministério da Saúde.",mandetta,https://www.instagram.com/p/B-LDn31gJ9s/,25/03,sim,nao,nao,nao,sim,sim,video,ms,geral
"minsaude
Verificado
O @governodobrasil reforça a preparação contra o #coronavírus. Hoje (25), o Ministério da Saúde liberou R$ 600 milhões para fortalecer os hospitais. Outros R$ 400 milhões já haviam sido enviados a todos os estados do país neste mês. Agora, os secretários estaduais de saúde, em conjunto com cada um de seus municípios, irão definir a destinação dos novos recursos na área de assistência. Saiba mais: https://bit.ly/39nlYVk
#Coronavírus
#covid19",mandetta,https://www.instagram.com/p/B-LbgoSgQ3n/,25/03,sim,nao,nao,nao,nao,nao,arte,ms,geral
"minsaude
Verificado
Muitas pessoas em tratamento de tuberculose, ao sentir melhora dos sintomas, acreditam que estão curadas e param de tomar os remédios. Parando o tratamento, a doença pode voltar de forma ainda mais grave. É preciso tratar até o final para obter a cura. Saiba mais acessando saude.gov.br/tuberculose
Esta publicação tem recurso de texto alternativo para deficientes visuais.
#TrateATuberculose #TB #Tuberculose",mandetta,https://www.instagram.com/p/B-MVdZYAFGI/,26/03,nao,nao,nao,nao,sim,nao,arte,ms,geral
"minsaude
Verificado
Atenção, idosos!

Ficar em casa neste momento é muito importante contra o coronavírus. Mas, é preciso abrir uma rápida exceção para irem se vacinar contra a gripe. A vacina protege contra gripes causadas por outros vírus tão perigosos quanto o #coronavírus. Atendam o chamado do Ministério da Saúde, procurem um posto de saúde e fiquem imunizados!

#VacinaBrasil",mandetta,https://www.instagram.com/p/B-NKPZsAKi3/,26/03,sim,nao,nao,nao,sim,sim,video,ms,geral
"minsaude
Verificado
⚠ ATENÇÃO ⚠
Confira a atualização dos casos de #Coronavírus no Brasil até as 15h de 26/03.

Informe-se em saude.gov.br/coronavirus",mandetta,https://www.instagram.com/p/B-Ne3nGgUhx/,26/03,sim,sim,sim,nao,nao,sim,print,ms,geral
"minsaude
Verificado
O Governo do Brasil avança no tratamento para o #coronavírus. Os pacientes graves internados poderão fazer uso da cloroquina e da hidroxicloroquina, com indicação médica. O protocolo do Ministério da Saúde prevê cinco dias de tratamento para pacientes hospitalizados. A cloroquina e hidroxicloroquina irão complementar todos os outros suportes utilizados no tratamento do paciente no Brasil, como assistência ventilatória e medicações para os sintomas, como febre e mal-estar. Esse medicamento não está indicado para prevenção e para formas leves da doença. Ministério da Saúde alerta para os riscos da automedicação. Saiba mais no Portal Saúde: https://bit.ly/2UCk5yO",mandetta,https://www.instagram.com/p/B-N3j-unWum/,26/03,sim,nao,nao,nao,sim,nao,arte,ms,geral
"minsaude
Verificado
SISTEMA DE SAÚDE PREPARADO. O Governo Federal está contratando 3.000 leitos de UTI em todo o 🇧🇷 para o tratamento do #coronavírus.

Nesta foto, você confere um dos leitos de instalação rápida feito pelo Ministério da Saúde no Hospital das Clinicas, em São Paulo. Ele já faz parte dos 540 leitos enviados com kits completos para ajudar no tratamento e combate à doença.",mandetta,https://www.instagram.com/p/B-N7iX_AYdZ/,26/03,sim,nao,nao,nao,nao,nao,arte,ms,geral
"minsaude
Verificado
O Governo do Brasil avança no tratamento para o #coronavírus. Os pacientes graves internados poderão fazer uso da cloroquina e da hidroxicloroquina, com indicação médica.
O protocolo do Ministério da Saúde prevê cinco dias de tratamento para pacientes hospitalizados. A cloroquina e hidroxicloroquina irão complementar todos os outros suportes utilizados no tratamento do paciente no Brasil, como assistência ventilatória e medicações para os sintomas, como febre e mal-estar.
Esse medicamento não está indicado para prevenção e para formas leves da doença. Ministério da Saúde alerta para os riscos da automedicação. Saiba mais no Portal Saúde: https://bit.ly/2UCk5yO",mandetta,https://www.instagram.com/p/B-OAYjDg-rs/,26/03,sim,nao,nao,não,não,não,arte,ms,geral
"minsaude
Verificado
Veja como se proteger e proteger sua família se houver um caso de coronavírus confirmado morando na mesma casa. Fique atento também aos sintomas: febre e tosse ou dificuldade para respirar.

Saiba mais em saude.gov/coronavirus ou ligue 136

#coronavírus #covid19",mandetta,https://www.instagram.com/p/B-PO-3JgB-O/,27/03,sim,nao,nao,nao,sim,nao,arte,ms,geral
"minsaude
Verificado
@minsaude lança material com instruções para profissionais de saúde e gestores sobre o manejo adequado de corpos, em caso de coronavírus (COVID-19). Saiba mais em saude.gov.br/coronavirus

#coronavírus #covid19",mandetta,https://www.instagram.com/p/B-PqSn4Assp/,27/03,sim,sim,nao,nao,sim,nao,arte,ms,geral
"minsaude
Verificado
Começou a vacinação contra a gripe. E, nesta primeira fase, os trabalhadores da saúde são parte do público prioritário: médicos, enfermeiros, parteiras, odontólogos, farmacêuticos, psicólogos, técnicos de raios x, profissionais de limpeza e atendentes ou recepcionistas de serviços de saúde, professores de educação física, veterinários, investigadores da vigilância epidemiológica, agentes comunitários de saúde, agentes de endemias, nutricionistas, terapeutas ocupacionais, fisioterapeutas, fonoaudiólogos, biólogos, assistentes sociais, técnicos de enfermagem, atendentes de odontologia, atendentes de farmácia, atendentes de clínicas de psicologia e auxiliares de nutrição, além de outros auxiliares e estagiários da saúde.
Procure um posto de saúde e leve a caderneta de vacinação.
Saiba mais em saude.gov.br/vacinabrasil

Gripe. Tem que vacinar.

#VacinaBrasil",mandetta,https://www.instagram.com/p/B-P4A41gORv/,27/03,nao,nao,nao,nao,sim,nao,arte,ms,profissionais_saude
"minsaude
Verificado
⚠ ATENÇÃO ⚠
Confira a atualização dos casos de #Coronavírus no Brasil até as 15h de 27/03.

Informe-se em saude.gov.br/coronavirus",mandetta,https://www.instagram.com/p/B-QFfWTgOWN/,27/03,sim,sim,sim,nao,sim,sim,print,ms,geral
"minsaude
Verificado
Ministério da Saúde responde dúvidas sobre o coronavírus

Já soube da novidade❓ O Ministério da Saúde vai responder as dúvidas sobre o coronavírus também pelo Whatsapp 📱. Assista ao vídeo e saiba como usar este novo canal.

Para acessar o bot, mande um ""oi"" para (61) 9938-0031 ou clique no link http://bit.ly/sauderesponde e fique bem informado!",mandetta,https://www.instagram.com/p/B-QULH-A8gC/,27/03,sim,nao,nao,nao,sim,nao,video,ms,geral
"minsaude
Verificado
Esteja atento ao uso correto do elevador. Confira e proteja-se. Saiba mais em saude.gov.br/coronavirus ou ligue 136.

#coronavírus #covid19",mandetta,https://www.instagram.com/p/B-SqqDYgTuB/,28/03,sim,nao,nao,nao,sim,nao,arte,ms,geral
"minsaude
Verificado
🥼 Profissionais de saúde são fundamentais para vencermos o #coronavírus. Por isso, o Ministério da Saúde trabalha forte para abastecer todo o Brasil com equipamentos de proteção individual. Muitos itens já foram distribuídos e novas remessas estão por vir. Saiba mais em http://saude.gov.br/coronavirus",mandetta,https://www.instagram.com/p/B-TQL3CAZSl/,28/03,sim,nao,nao,nao,nao,nao,arte,ms,geral
"minsaude
Verificado
Dicas de saúde. Aqui vão dicas importantes de como se proteger de gripes, resfriados e outras doenças respiratórias
Siga as orientações do Ministério da Saúde e saiba como proteger sua saúde.

Para mais informações, acesse saude.gov.br/coronavirus",mandetta,https://www.instagram.com/p/B-UYc3cgH8-/,29/03,nao,nao,nao,nao,nao,nao,video,ms,geral
"⚠ ATENÇÃO ⚠
Confira a atualização dos casos de #Coronavírus no Brasil até as 15h de 29/03.

Informe-se em saude.gov.br/coronavirus",mandetta,https://www.instagram.com/p/B-VUElogJha/,29/03,sim,sim,sim,nao,nao,sim,print,ms,geral
"No momento atual, é comum ter dúvidas sobre o que é recomendado fazer em nossa rotina. O Ministério da Saúde esclarece elas para você. Para saber mais, acesse saude.gov.br/coronavirus ou ligue 136. #coronavirus #covid19",mandetta,https://www.instagram.com/p/B-W9NDAgQXg/,30/03,sim,nao,nao,nao,sim,nao,arte,ms,geral
"⚠ ATENÇÃO ⚠
Confira a atualização dos casos de #Coronavírus no Brasil até as 15h de 30/03.

Informe-se em saude.gov.br/coronavirus
2 d",mandetta,https://www.instagram.com/p/B-X7mIOAGpU/,30/03,sim,sim,sim,nao,nao,sim,print,ms,geral
"Essa é a primeira parte do lote de 5 milhões de unidades de testes, doados pela @valenobrasil , que atenderão aos brasileiros nos próximos meses.

Os testes rápidos detectam anticorpos e em até 15 minutos conseguem mostrar se há infecção.

Saiba mais no Portal Saúde. saude.gov.br",mandetta,https://www.instagram.com/p/B-YAWYvgQDd/,30/03,sim,nao,nao,nao,nao,nao,arte,ms,geral
"O valor será pago aos profissionais residentes cursando Programas de Residência Médica e Residência em Área Profissional da Saúde de todas as áreas de saúde (médicos, enfermeiros, fisioterapeutas, farmacêuticos, terapeutas ocupacionais, psicólogos, por exemplo) durante o combate ao #coronavírus no país.
Saiba mais no Portal Saúde: saude.gov.br",mandetta,https://www.instagram.com/p/B-YFRTVAevt/,30/03,sim,nao,nao,nao,nao,nao,arte,ms,profissionais_saude
"O Brasil 🇧🇷 já alcançou quase metade da meta de vacinação de idosos! E mais: 1,7 milhão de trabalhadores da saúde também já estão protegidos.

Se você ou alguém da sua família faz parte deste público alvo, procure um posto de saúde para se vacinar.
Saiba mais sobre o balanço no Portal Saúde. saude.gov.br

#VacinaBrasil #Vacinação #Gripe",mandetta,https://www.instagram.com/p/B-YI7hBAzo_/,30/03,nao,nao,nao,nao,sim,nao,arte,ms,geral
"COMPROMISSO - Todas as luvas, máscaras cirúrgicas, aventais e outros equipamentos de proteção individual adquiridos pelo @minsaude já foram distribuídos aos estados. E serão utilizados por equipes médicas no atendimento de pacientes com #coronavírus em todo o país.
Confira a lista completa do Portal Saúde: saude.gov.br",mandetta,https://www.instagram.com/p/B-YPlnaANg2/,31/03,sim,nao,nao,nao,nao,nao,arte,ms,geral
"⚠ ATENÇÃO ⚠
Confira a atualização dos casos de #Coronavírus no Brasil até as 15h de 31/03.

Informe-se em saude.gov.br/coronavirus",mandetta,https://www.instagram.com/p/B-adhMqAE9A/,31/03,sim,sim,sim,nao,nao,sim,print,ms,geral
"🏥Reforço no atendimento do #coronavírus para população brasileira! O Centro Hospitalar para a Pandemia de Covid-19, na Fundação Oswaldo Cruz (Fiocruz), terá 200 leitos de tratamento intensivo e semi-intensivo exclusivos para pacientes graves infectados pelo coronavírus. Além disso, também serão realizadas ações do ensaio clínico Solidariedade (Solidarity) para pesquisa de tratamentos da doença. Saiba mais: https://bit.ly/2wGD3fP",mandetta,https://www.instagram.com/p/B-a5WzbAsdj/,31/03,sim,nao,nao,nao,nao,nao,print,ms,geral
"Ministério da Saúde distribui testes rápidos para todo o 🇧🇷

500 mil testes rápidos para diagnóstico do #coronavírus já chegaram ao Brasil! Confira a explicação do ministro da Saúde, Luiz Henrique Mandetta, sobre como será realizada a aplicação desses testes. E se você quiser saber a quantidade que foi enviada para cada estado, acesse: https://coronavirus.saude.gov.br/distribuicao-de-testes",mandetta,https://www.instagram.com/p/B-a7qijgCkF/,31/03,sim,nao,nao,nao,nao,sim,video,ms,geral
"Luta contra o coronavírus

A Dra. Angelita Gama, um dos grandes ícones da medicina brasileira, nos ensinou mais uma lição hoje! Durante a coletiva de hoje, o ministro da Saúde, Luiz Henrique Mandetta, se equivocou ao dizer que ela havia falecido. Mas não! Angelita segue lutando, como sempre fez, agora contra o #coronavírus. Mandetta pede desculpas à sua família e torce pela sua recuperação.",mandetta,https://www.instagram.com/p/B-bAh8OAIak/,31/03,sim,sim,nao,sim,nao,sim,video,ms,geral
Lembre-se: é hora de cuidar de nós mesmos e uns dos outros. Saiba mais em saude.gov.br/coronavirus ou ligue 136. #coronavirus #covid19,mandetta,https://www.instagram.com/p/B-cXWuVgCwM/,01/04,sim,nao,nao,nao,sim,nao,arte,ms,geral
